id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,道路,2015,道路構造令に関する記述として、誤っているものはどれか。,道路構造令は高速自動車国道および一般国道の構造の一般的技術的基準を定めている,道路構造令で規定している道路の構造とは主として道路の幅員・建築限界・線形・視距・交差または接続等の構造である,道路構造令は道路を新設し又は改築する場合に適用され修繕工事の場合も道路構造令の規定によらなければならない,道路構造令は一般的技術的基準であり一般的道路利用とは異なる場合には個別に検討してもよい,c,修繕工事の場合は道路構造令の規定によらなくてもよい場合がある,道路構造令,標準
2,道路,2015,道路の分類に関する記述として、誤っているものはどれか。,歩行者専用道路・自転車専用道路は自動車が通行しない歩行者・自転車のための道路である,多機能道路は自動車の通行機能よりも歩行者等の交通機能を重視した道路である,自動車の通行機能を重視する道路は自動車の通行機能を重視し部分的に出入制限された道路である,自動車専用道路は自動車の通行機能に特化し完全に出入制限された道路である,b,多機能道路は自動車機能と歩行者機能の調和を図る道路,道路構造令,標準
3,道路,2015,設計速度に関する記述として、誤っているものはどれか。,設計速度は道路設計の基礎とする自動車の速度である,道路の幅員は設計速度に基づき決定する,一般道路の設計速度は出入制限を伴わない交通制御を行うことが前提となるのでその最高値は80km/hとしている,設計速度が30km/h以上の道路はやむを得ない場合には20km/hまたは10km/h減じた値まで縮小できる,d,設計速度の縮小は10km/hまでが原則,道路構造令,標準
4,道路,2015,建築限界に関する記述として、誤っているものはどれか。,普通道路の高さは設計車両の高さ3.8mに余裕高を加えて4.5mとする,小型道路の高さは設計車両の高さ2.8mに走行車両の跳ね上がりを考慮して3.0mとする,小型道路のハンチ切欠き部の幅員は車道に接続する路肩の幅員とし当該値が1mを超える場合においては1.0mとする,片勾配を有する区間では路面に直角ただし標準の横断勾配以下の勾配となる区間は鉛直にとる,b,小型道路の高さは設計車両高に余裕高を加えて3.0m,道路構造令,標準
5,道路,2015,クロソイドの設計に関する記述として、誤っているものはどれか。,A≧R/3を目安としクロソイドが極端に長くなってなめらかさを欠くことを避ける,A≦Rを目安としクロソイドの端部で曲率の増加を大きく感じさせないようにする,Rが非常に大きい場合にはA≧R/3にはこだわらなくてもよい,幹線道路への出入路やヘアピン曲線のように速度変化が当然あるところではA≦Rを目安とする必要はない,b,クロソイドパラメータAは一般にA≧R/3が目安,道路構造令,やや難
6,道路,2015,交通量変動に関する記述として、誤っているものはどれか。,交通量に対する単位時間を小さくとった場合は方向別分布の差が大きくなり特に都市部の道路でこの傾向は強い,多車線道路における交通量の車線別分布は交通量が比較的少ない場合は第1車線の交通比率は大きいが交通量が増大するに従い第2車線第3車線の交通比率は増大し第1車線より大きくなる,1日の中でも交通量は変動し都市部および都市周辺部では朝夕2回のピークがあり地方部では午後に1回のピークがあるものもある,単位時間を小さくした場合交通量のピークは大きくなることから高速自動車国道交差接続部等の重要な道路の区間では15分間交通量5分間交通量を用いることが多い,b,交通量が増大しても第1車線の交通比率が最も高い状態が続く,道路交通計画,標準
7,道路,2015,交通容量に関する記述として、誤っているものはどれか。,基本交通容量とは道路条件および交通条件が基本的な条件を満たしている場合に通過することができる乗用車の最大数である,可能交通容量とは現実の道路条件および交通条件の下で通過することが期待できる乗用車の最大数である,サービス水準は目標年次における交通状態が年間を通じて満足すべきサービスの質の程度である,単路部の基本交通容量は多車線で2200pcu/h/車線2車線で2500pcu/h/往復である,d,2車線の基本交通容量は1700pcu/h/往復程度,道路の交通容量,標準
8,道路,2015,平面交差点に関する記述として、誤っているものはどれか。,道路構造令では屈折車線の幅員は普通道路で3m小型道路で2.5mを標準としている,道路構造令では第3種第2級第4種第1級の道路において屈折車線を設ける場合には直進車線の幅員を縮小出来ることとしている,停車帯や駐車可能な路肩は確保しないで停車を抑制する,都市部の右折車線において大型車混入率が低い場合には2.5mまで縮小してよい,a,屈折車線の標準幅員は普通道路3.5m小型道路3.0m,道路構造令,標準
9,道路,2015,登坂車線に関する記述として、誤っているものはどれか。,普通道路の縦断勾配が5%(高速自動車国道および高速自動車国道以外の設計速度が100km/h以上の道路では3%)を超える車道には必要に応じて登坂車線を設置する,第1種のような高速連続運転が行われる道路ではトラックに対して設計速度の1/2の速度よりも高い許容最低速度を用いて設置区間を設定した方が望ましい,登坂車線の幅員は道路規格に応じて設定する。また第1種第2種の道路においては本線との間に側帯相当幅を設ける,長区間に登坂車線を設置する場合は必要に応じて非常駐車帯を設置する必要がある,a,登坂車線設置基準の勾配は道路種別により異なる,道路構造令,標準
10,道路,2015,舗装の性能指標に関する記述として、誤っているものはどれか。,舗装の必須の性能指標は疲労破壊輪数塑性変形輪数および平たん性である,舗装の性能指標の値は施工直後の値とするが性能の確認が不十分である場合は必要に応じて供用後一定期間を経た時点の値を設定する,塑性変形輪数はFWDによる載荷点直下のたわみを測定し推定式を用いて算出する,平たん性の確認は3メートルプロフィルメータによる平たん性測定方法又はこれと同等の路面性状測定車による測定方法により行う,c,塑性変形輪数は室内試験により求める,舗装設計施工指針,標準
