id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
30,河川、砂防及び海岸・海洋,2019,海岸堤防に関する記述として誤っているものはどれか,堤防の型式は直立型・傾斜型・混成型の3種類に分類され表法面の勾配が1:1より急なものを直立型1:1より緩いものを傾斜型と呼び特に傾斜型の中で1:3より緩やかなものを緩傾斜堤と呼ぶ,設計波に対する堤防の必要高は一般に設置位置が汀線よりも沖側にある場合は越波流量から汀線よりも陸側にある場合には波のうちあげ高から算定する,緩傾斜堤は表法勾配が1:3程度であれば直立堤防に比べて波のうちあげ高や越波流量の低減が期待できる,堤防と一体的に設置された樹林や盛土は津波・高潮等により海水が堤防を越えて侵入した場合の被害を軽減する役割を担う,C,緩傾斜堤の波浪低減効果は勾配1:3程度では限定的で1:5以上の緩勾配で顕著となる。誤りの選択肢を特定することが重要です。,海岸保全施設の技術上の基準,標準
31,河川、砂防及び海岸・海洋,2019,ダムの計測管理に関する記述として誤っているものはどれか,ダムの計測管理は構造物の安全性を確認し適切な維持管理を行うために実施する,漏水量・揚圧力・変位等の計測は定期的に実施し異常の早期発見に努める,計測データは経年変化を把握し構造物の健全性を評価するために活用する,計測管理は建設時のみ実施すればよく供用後の計測は不要である,D,計測管理は建設時から供用期間を通じて継続的に実施し長期的な安全性確保を図る。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
32,河川、砂防及び海岸・海洋,2019,河川堤防の耐震対策に関する記述として誤っているものはどれか,河川堤防の耐震対策は地震による堤防の変形・沈下・液状化等を考慮して実施する,耐震対策工法は地盤条件・堤防構造・地震動特性等を総合的に検討して選定する,液状化対策として地盤改良・ドレーン工・鋼矢板工等の工法が用いられる,すべての河川堤防で同一の耐震対策を適用することが標準的である,D,耐震対策は地震リスク・重要度・地盤条件・堤防構造により適切に選定する必要がある。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
33,河川、砂防及び海岸・海洋,2019,海岸保全施設に関する記述として誤っているものはどれか,離岸堤は汀線の安定化と海浜の保全を目的として設置する,人工リーフは波浪の減衰効果により海浜の侵食を防止する,緩傾斜堤は波の遡上を促進し背後地への浸水を助長する構造物である,突堤は沿岸漂砂の制御により海浜の安定化を図る構造物である,C,緩傾斜堤は波の遡上を抑制し背後地への浸水を防止する構造物である。誤りの選択肢を特定することが重要です。,海岸保全施設の技術上の基準,標準
34,河川、砂防及び海岸・海洋,2019,海岸調査に関する記述として誤っているものはどれか,海面での気圧変動や風などによる海面の昇降を気象潮と言う,有義波は約100波以上の連続した波の観測値に対して上から全体の1/4にあたる個数を抽出して平均して求める,海浜流は海岸近くにおいて砕波変形の影響を受けて発達する流れである,潮位観測は波浪などの周期の比較的短い変動を除去した平均的な海面の高さの変動を連続して観測するものである,B,有義波は上位1/3の波高の平均値として求められる。誤りの選択肢を特定することが重要です。,港湾の施設の技術上の基準,標準
35,河川、砂防及び海岸・海洋,2019,砂防関係施設点検要領に示された地すべり防止施設及び施設周辺状況等の点検に関する記述として誤っているものはどれか,地すべり防止施設等の点検にあたっては劣化・腐食・損傷・変形等の原因とメカニズム・進行速度・機能や性能が低下した場合の問題点を推定しながら実施することが重要である,地すべり防止施設等の点検において地すべり防止施設に坑内傾斜計や地盤伸縮計等が設置されている場合は計測結果の確認を同時に実施する必要がある,地すべり防止施設等の点検は施設のみならず管理用道路や施設周辺斜面など周辺の状況についても点検の対象とする,地すべり防止施設等の点検において地下水排除工の集水管及び排水管の不可視部分の変状が疑われる場合は必要に応じて詳細点検を実施することが望ましく詳細点検の方法としては検尺棒による連続性の確認やカメラによる損傷状態の確認などがある,B,計測結果の確認は点検と同時に実施することが砂防関係施設点検要領で推奨されている。誤りの選択肢を特定することが重要です。,砂防関係施設点検要領,標準
36,河川、砂防及び海岸・海洋,2019,河川堤防の設計に関する記述として正しいものはどれか,堤防の安定計算では常時と地震時の両方を検討する,川表のり勾配は川裏のり勾配より急勾配とする,浸透対策は堤体内の間隙水圧を上昇させる効果がある,すべての河川で同一の堤防断面を適用する,A,河川堤防の設計では常時の安定性と地震時の安定性の両方を検討する必要がある。設計基準への準拠が必要です。,河川砂防技術基準,標準
37,河川、砂防及び海岸・海洋,2019,地すべり対策工のうちアンカー工法に関する記述として正しいものはどれか,地すべり対策工として使用されるアンカーの効果には締付効果・ひき止め効果・および地盤とアンカーの相互作用による補強効果の3種類がある,アンカーの定着長は地盤とグラウトとの間の付着長およびテンドンとグラウトとの間の付着長について比較し経済性を考慮し短い方を定着長とし原則として3m以上10m以下とする,アンカーの自由長は地盤のせん断抵抗や土塊重量が小さく十分な引き抜き抵抗力が得られなくなるなどの理由から原則として最小長を4mとする,アンカーの傾角は施工上の問題から原則として水平面より-10度～+10度の範囲内が望ましい,C,アンカーの自由長は滑動層を貫通するため最小長4mを原則とする,地すべり防止技術指針,標準
38,河川、砂防及び海岸・海洋,2019,急傾斜地の崩壊現象解明等のための調査に関する記述について誤っているものはどれか,急傾斜地の調査は基本調査・地盤調査・環境調査・崩壊斜面等調査からなる,地盤調査はサウンディング・ボーリング・土質試験・物理探査等の調査があり崩壊特性や地盤条件を的確に把握するために有効な調査手法を用いて実施する,環境調査は対象となる急傾斜地とその周辺を対象に社会環境や自然環境に関する法指定状況・土地利用計画・開発状況・景観資源・動植物等の項目について既存資料の収集・現地調査・調査結果の整理分析等により環境特性を把握することを目的に実施する,崩壊斜面等調査はがけ崩れの発生が予想される斜面において急傾斜崩壊防止施設の設計や警戒避難体制等の検討のために予想されるがけ崩れの発生形態や発生要因・被災想定を把握することを目的に実施する,D,崩壊斜面等調査は既に崩壊が生じた斜面と崩壊が予想される斜面の両方を対象とする。誤りの選択肢を特定することが重要です。,急傾斜地崩壊対策技術指針,標準
39,河川、砂防及び海岸・海洋,2019,山腹保全工に関する記述として正しいものはどれか,山腹工は山腹基礎工・山腹緑化工・山腹保育工からなる,山腹基礎工は山腹斜面にのり枠工や鉄筋挿入工などを設置し斜面そのものの崩壊抵抗力を高める工法である,山腹緑化工は山腹の斜面などにおいて表面侵食や表土の移動を抑制するとともに植生を導入する柵工・積苗工・筋工などの工法も含まれる,山腹保育工はとくし地のように土壌が貧弱ではあるが比較的緩斜面な地形のところで主体に計画される工法である,C,山腹緑化工は表面侵食抑制と植生導入を図る工法群で柵工・積苗工・筋工等を含む,治山技術基準,標準
