id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,道路,2019,道路網計画の策定に関する記述として誤っているものはどれか,道路網計画は地域の発展と住民の福祉向上を目的として策定する,道路網計画では交通需要予測と経済効果分析を実施する,道路網計画は上位計画や関連計画との整合性を図る必要がある,道路網計画は一度策定すれば見直しの必要がない,D,道路網計画は社会情勢の変化に応じて適切に見直す必要がある。誤りの選択肢を特定することが重要です。,道路構造令・道路橋示方書,標準
2,道路,2019,舗装の性能指標に関する記述として誤っているものはどれか,舗装の必須性能指標は疲労破壊輪数・塑性変形輪数・平たん性である,性能指標値は施工直後の値とするが必要に応じて供用後一定期間の値を設定する,疲労破壊輪数はFWDによる載荷点直下のたわみを直接測定し推定式で算出する,塑性変形確認は3メートルプロフィルメータによる測定方法により行う,D,塑性変形確認はわだち掘れ量測定により行い3メートルプロフィルメータは平たん性測定に使用。誤りの選択肢を特定することが重要です。,舗装設計施工指針・道路構造令,標準
3,道路,2019,防護柵の設計に関する記述として誤っているものはどれか,車両用防護柵は車両の路外逸脱防止を主目的として設置する,たわみ性防護柵は衝撃エネルギーを変形により吸収する,剛性防護柵は変形が小さく設置延長を短くできる利点がある,生活道路用柵は主として大型車両の逸脱防止を目的とする,D,生活道路用柵は歩行者等保護のための車両進入防止等を目的とする。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,道路構造令・防護柵設置基準,標準
4,道路,2019,道路土工構造物の点検に関する記述として誤っているものはどれか,道路土工構造物の点検は定期的に実施し健全性を評価する,点検は目視を基本とし必要に応じて計測機器を用いる,点検結果は適切に記録し維持管理に活用する,すべての土工構造物で同一の点検頻度を適用する,D,点検頻度は構造物の重要度・設置環境・劣化状況により適切に設定する。誤りの選択肢を特定することが重要です。,道路土工構造物点検要領・道路法,標準
5,道路,2019,道路の計画交通容量に関する記述として誤っているものはどれか,計画交通容量は設計対象時間交通量に対して設定される,計画水準により許容される交通状況が異なる,上位の計画水準ほど高いサービス水準を提供する,すべての道路で同一の計画水準を適用することが標準的である,D,計画水準は道路の重要度・機能・地域特性に応じて適切に選定する。誤りの選択肢を特定することが重要です。,道路の交通容量,標準
6,道路,2019,道路構造令による道路の分類に関する記述として誤っているものはどれか,自動車専用道路は自動車の通行機能に特化し完全に出入制限された道路である,自動車の通行機能を重視する道路は部分的に出入制限された道路である,多機能道路はアクセス機能よりも滞留機能を優先した道路である,歩行者等の交通機能を重視する道路は自動車通行機能よりも歩行者等を重視した道路である,C,多機能道路は滞留機能よりもアクセス機能を優先した道路である。誤りの選択肢を特定することが重要です。,道路構造令・道路橋示方書,標準
7,道路,2019,環境施設帯の設置に関する記述として誤っているものはどれか,環境施設帯は騒音や大気汚染等の環境影響軽減を目的として設置する,道路の構造や交通量を考慮して設置の必要性を判断する,環境施設帯の幅員は道路条件や地形状況により決定する,沿道地域の建物用途に関わらず設置の必要性は変わらない,D,環境施設帯の設置は沿道地域の土地利用状況・建物用途も考慮して決定する。誤りの選択肢を特定することが重要です。,環境基本法,標準
8,道路,2019,信号交差点の交通制御設計に関する記述として誤っているものはどれか,有効青時間は青・黄・全赤信号時間の和から発進損失時間とクリアランス損失時間を差し引いた時間である,飽和交通流率とは交差点流入部で交通需要が十分存在する状態での単位時間当たり最大車両数である,青信号表示時間の始まりの一部はクリアランス損失時間となる,信号制御の損失時間は発進損失時間とクリアランス損失時間からなる,C,青信号表示時間の始まりは発進損失時間でありクリアランス損失時間は青信号終了時。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,平面交差の計画と設計,標準
9,道路,2019,道路の区分に関する記述として誤っているものはどれか,道路の区分は道路の種類・計画交通量・道路の存する地域・地形状況から定まり歩行者や自転車の交通機能を中心に考えて定めたものである,道路の区分は高速自動車国道・自動車専用道路とそれ以外の道路の別等に応じて種別・級別に区分している,普通道路とは小型自動車・普通自動車・セミトレーラ連結車の通行の用に供することを目的とする道路である,小型道路とは小型自動車等のみの通行の用に供することを目的とする道路で主に通行機能を考慮した道路である,A,道路の区分は自動車の通行機能を中心に考えて定められる。誤りの選択肢を特定することが重要です。,道路構造令・道路橋示方書,標準
10,道路,2019,道路構造令における車線に関する記述として誤っているものはどれか,車線の幅員は道路の区分に応じて定められる,車線数は計画交通量と設計基準交通量により決定する,軽自動車道の車線幅員は2.75m以上とする,第1種道路の車線幅員は地形条件に関わらず3.5mとする,D,第1種道路の車線幅員は平地部3.5m・山地部3.25mとし地形条件により異なる。誤りの選択肢を特定することが重要です。,道路構造令・道路橋示方書,標準
