id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,道路,2008,自動車の走行抵抗に関する記述のうち、正しいものはどれか。,転がり抵抗は車輪が路面上を転がるときに生じる抵抗で通常の舗装路面では転がり抵抗係数は0.15程度である,空気抵抗は速度と自動車の前面投影面積に比例する,勾配抵抗は勾配tanθの上り坂では自動車総重量×sinθで与えられる,加速抵抗は加速度と質量に反比例する,c,勾配抵抗は自動車総重量の勾配斜面方向成分で自動車総重量×sinθで表される,道路構造令,標準
2,道路,2008,交通事故危険箇所の抽出に関する記述のうち、誤っているものはどれか。,一般に用いられる手法は事故発生件数や事故率等であり交通安全施設等整備事業計画では事故率が採用されている,一定期間内の事故発生件数を用いる方法は都市部や交通量の多い区間に偏る傾向がある,事故率を用いて抽出する方法は交通量が多い箇所では極端に事故率が大きくなる場合がある,事故の種類により重み付けした危険箇所抽出方法は死亡重傷事故が発生した箇所の抽出に有効である,c,事故率は交通量で基準化するため交通量が多い箇所で極端に大きくなることはない,交通安全施設等整備事業計画,標準
3,道路,2008,舗装性能評価に関する記述のうち、誤っているものはどれか。,必須の性能指標は疲労破壊輪数、塑性変形輪数、平たん性である,疲労破壊輪数は供試体のホイールトラッキング試験による動的安定度を測定し評価する,平たん性、浸透水量、騒音値、すべり抵抗値等は直接計測により評価する,騒音値、すべり抵抗値は必要に応じ定める性能指標である,b,疲労破壊輪数は曲げ疲労試験で評価し動的安定度は塑性変形輪数の評価に用いられる,舗装設計施工指針,標準
4,道路,2008,自転車専用道路等に関する記述のうち、誤っているものはどれか。,自転車専用道路の幅員は3m以上自転車歩行者専用道路の幅員は4m以上とする,自転車に乗った人の通行空間は幅1.0m高さ2.5mで幅はハンドル幅0.6mと横揺れ余裕0.4mの和である,自転車歩行者専用道路の規定幅員は自転車の通行幅と車いすのすれ違い必要幅および両側の側方余裕を加えて定められている,自転車専用道路等の幅員は特別な理由により2.5mまで縮小できる,a,自転車専用道路は3m以上自転車歩行者専用道路は4m以上が標準だが特別な場合は2.5mまで縮小可能,道路構造令,標準
5,道路,2008,道路構造令に関する記述のうち、誤っているものはどれか。,道路構造令は道路を新設改築する場合の他修繕工事にも適用される一般的技術基準である,一般的技術基準であり特殊車両の通行を目的とする道路等は個別の検討が必要である,道路構造令は道路法第30条の主旨に沿って道路構造の技術的基準を定めた政令である,道路の一定区間にバイパスを建設する場合には道路構造令は当該区間全体には適用されずバイパス部分にのみ適用される,a,道路構造令は修繕工事には適用されない,道路構造令,標準
6,道路,2008,平面交差点に関する記述のうち、誤っているものはどれか。,設計交通量を飽和交通流率で除した値を需要率といいその交通量を捌くのに必要なスプリットに相当する,飽和交通流率は流入部において交通需要が十分に存在する状態で単位時間当たりに通過しうる最大の車両数であり理想的な状態では2200台車線青1時間とされる,発進損失とクリアランス損失の2種類の損失時間の和を現示毎に合計した値を1サイクル当たりの損失時間という,現示の需要率は各現示における最大の需要率であり各現示の需要率の合計値が交差点の需要率でこれが0.9を超えると設計交通量を捌くことが出来なくなる,d,現示の需要率は各現示における最大の需要率ではなく各流入方向の需要率である,平面交差の計画と設計,標準
7,道路,2008,道路標識に関する記述のうち、誤っているものはどれか。,路側式の標示板の設置高さは2.50mを標準とする,歩道等を有する場合においては原則として歩車道境界と25cm以上離して設置する,片持式門型式の標示板の設置高さは5.0m以上を標準とする,警戒標識規制標識は原則として路側式とする,a,路側式標示板の設置高さは2.0mを標準とする,道路標識設置基準,標準
8,道路,2008,曲線部の拡幅に関する記述のうち、誤っているものはどれか。,第1種第2種第3種第1級の普通道路に対してはセミトレーラーその他の道路に対しては普通自動車小型道路に対しては小型自動車等を対象として拡幅量を設定する,6車線以上の道路は必ずしも全車線に対して拡幅を行う必要はない,都市部に存する第2種及び第4種の道路については拡幅量の縮小もしくは拡幅をしないことが出来る,曲線半径が小さい場合は車線毎に拡幅量を決めるため上下線で車道の幅員が異なることがある,d,曲線部拡幅は内側車線のみに行うため上下線で幅員が異なることはない,道路構造令,標準
9,道路,2008,路床の設計に関する記述のうち、誤っているものはどれか。,CBRが3未満の路床を改良する場合の改良厚さは安定処理で30～100cm置換工法による場合は50～100cmの間で設定する,CBRが2未満の路床を改良した場合その施工厚から20cmを減じたものを有効な構築路床の層として扱う,改良した層のCBRの上限は20とする自然地盤の層は上限を設けない,舗装構造を短区間で変えることは望ましくない少なくとも200mの区間は変えないように設計することが望ましい,b,CBRが2未満の路床を改良した場合施工厚から20cmを減ずることはない,舗装設計施工指針,標準
10,道路,2008,インターチェンジに関する記述のうち、誤っているものはどれか。,不完全立体交差型はダイヤモンド型を除けば料金所がある場合の適合性は高い,完全立体交差型は料金所がある場合3枝交差以外での適合性は低い,織り込み型は比較的交通量が多い場合の適合性は高い,不完全立体型は交通量が多い場合の適合性は低い,a,不完全立体交差型は料金所がある場合でも適合性は低い,道路構造令,標準
