id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,道路,2014,積雪地域の道路幅員構成に関する記述として、誤っているものをa～dのなかから選びなさい。,幹線道路の計画対象降・積雪深さは、10年間再現確率値によることを標準とする。,冬期交通確保幅は、冬期側帯、冬期車道、冬期路肩で構成する。,冬期路肩は0.25m以上確保することを標準とする。,冬期歩道は、傘をさした人がすれ違えるように2.0m以上を確保することが望ましい。,c,冬期路肩は0.5m以上確保することが標準とされている。,道路構造令,標準
2,道路,2014,道路トンネルにおける、一般的な定期点検の実施要領に関する記述として、誤っているものをa～dのなかから選びなさい。,定期点検の結果で、応急対策が必要と判断された場合は、遅滞なく応急対策を行う。,点検員は専門的な判断が求められるので、大学卒業者においては4年以上の実務経験を有することが望ましい。,新設トンネルの初回定期点検は、建設後1年から2年以内に実施することが望ましい。,近接目視点検は、特に日常点検では発見しづらい変状があるアーチの上部や、坑門の上部に対して高所作業車等により点検個所に接近し入念に観察する必要がある。,c,新設トンネルの初回定期点検は、建設後5年以内に実施することが標準。,トンネル維持管理マニュアル,標準
3,道路,2014,次の用語の説明のうち、誤っているものをa～dのなかから選びなさい。,付加追越車線とは、低速車に追随する車両（高速車）を分離して走行させることを目的として設ける車線である。,減速車線とは、高速走行している自動車が減速して他の道路へ流出する場合に本線上の他の高速車の走行を乱さないよう安全に加速するために設ける車線である。,登坂車線とは、速度の低下する車両を分離して走行させるために本線に付加する車線である。,屈折車線とは、右折または左折しようとする自動車のために、直進する自動車のための車線とは別に設ける車線である。,b,減速車線は減速するための車線であり、「安全に加速する」という記述は誤り。,道路構造令,標準
4,道路,2014,車線の幅員に関する記述として、誤っているものをa～dのなかから選びなさい。,第1種道路の標準的な車線幅員は、第1級、第2級および第3級の道路に対して3.50m、第4級の道路に対して3.25mである。,第2種第1級の道路の車線幅員は、3.50mと規定しているが、やむを得ない場合においては、3.25mに縮小することができることとしている。,第3種の道路の車線の幅員は、第1級については3.50m、第2級については3.25m、第3級については3.00m、第4級については2.75mである。,第4種の道路の車線の幅員は、第1級については3.25m、第2級および第4種第3級については2.75mである。,d,第4種第2級の車線幅員は3.00mが標準。,道路構造令,標準
5,道路,2014,道路の移動等円滑化ガイドライン（歩道等）に関する記述として、誤っているものをa～dのなかから選びなさい。,歩道等の縦断勾配は、5％以下とするものとする。ただし、地形の状況その他の特別な理由によりやむを得ない場合においては、8％以下とすることができる。,歩道等（車両乗入れ部及び横断歩道に接続する部分を除く。）に設ける縁石の車道等に対する高さは15cm以上を基本とする。,歩道等（縁石を除く。）の車道等に対する高さは、5cmを標準とするものとする。,横断歩道に接続する歩道等の部分の縁端は、車道等の部分より高くするものとし、その段差は1cmを標準とする。,b,縁石の高さは15cm程度を標準とする。,道路の移動等円滑化ガイドライン,標準
6,道路,2014,道路の移動等円滑化ガイドライン（立体横断施設）に関する記述として、誤っているものをa～dのなかから選びなさい。,立体横断施設を移動円滑化するためには、いかなる場合においても階段とともに傾斜路を設けるものとする。,立体横断施設に設けられる傾斜路について、高さ75cm以内ごとに踏み幅1.5m以上の踊場を設ける。,立体横断施設に設ける通路は、横断勾配を設けないことを基本とする。,立体横断施設に設ける階段（その踊場を含む）は、有効幅員を1.5m以上とする。,a,「いかなる場合においても」は誤り。地形等の制約がある場合は除外される。,道路の移動等円滑化ガイドライン,標準
7,道路,2014,横断歩道計画に関する記述として、誤っているものをa～dのなかから選びなさい。,横断歩道の配置計画は可能な限り、歩行者の自然な流れに合致させることが必要である。,横断歩道はできるだけ車道に直角に設置する。,横断歩道はできるだけ交差点の中心部に寄せる。,横断歩道の幅員は、原則として幹線道路相互の交差では3m、細街路相互の交差では2mを最小とする。,c,横断歩道は交差点の隅角部に近い位置に設置するのが適切。,道路構造令,標準
8,道路,2014,道路土工の施工計画を立案する際、施工方法と機械の選定に関する記述として、誤っているものをa～dのなかから選びなさい。,現場の土が軟弱で建設機械の選定に当たり、トラフィカビリティが問題になる場合があるが、一般にトラフィカビリティはコーン指数qcで示される。,運搬機械の選定に当たっては、運搬距離、勾配、作業場の面積等に注意しなければならない。,建設機械の組合せにおいて、各建設機械の作業能力に大きな格差を生じないように建設機械の規格と台数を決めることが必要である。,普及度の高いすなわち市場の保有台数が多く、また生産台数も多い建設機械の中から小型のものを使用する方が工事の段取りや建設機械の手配あるいは施工経費等で有利なことが多い。,d,小型機械が常に有利とは限らない。現場条件に応じた適切な選定が重要。,道路土工施工指針,標準
9,道路,2014,道路土工工事の施工計画立案時の土量配分において、運搬土量×運搬距離が最小になるように計画する際の留意事項として、誤っているものをa～dのなかから選びなさい。,土量変化率が実態に合致しないと土量が余ったり不足したりするので、土量変化率はできるだけ事前調査等により正確な値をつかむようにする。,橋梁やカルバート等の構造物の工程や工事用道路計画との調整を十分に行い、施工が円滑にできるよう配慮する。,残土量ができるだけ少なくなるよう心がけるものとするが、いわゆる不良土は捨て土を基本とする。,同一工事現場内においても切土の土質がかなり異なることもあるので、切土を盛土に利用する場合には盛土の各部に要求される品質に応じた土質のものを流用するよう計画する。,c,不良土も改良等により有効利用を図ることが重要。,道路土工施工指針,標準
10,道路,2014,PC道路橋における主桁PC鋼材の緊張管理の記述として、誤っているものをa～dのなかから選びなさい。,プレストレッシングの管理は、荷重計の示度及びPC鋼材の伸び量により行う。,PC鋼材のプレストレッシングの管理に用いる摩擦係数及びPC鋼材の見かけのヤング係数は、現場において試験緊張により求める。,プレストレッシング時のコンクリートの圧縮強度は、プレストレッシング直後にコンクリートに生じる最大圧縮応力度の2.5倍以上とする。なお、プレテンション方式の場合は50N/mm2以上とする。,プレストレッシング装置のキャリブレーションは、装置を使用する前及び必要に応じて使用中に行う。,c,プレストレッシング時のコンクリート強度は最大圧縮応力度の1.5倍以上が標準。,道路橋示方書,標準
