id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,道路,2018,建設工事における工程管理について、正しいものはどれか。,計画立案→工程表作成→進捗管理→調整・改善,工程表作成→計画立案→調整・改善→進捗管理,進捗管理→計画立案→工程表作成→調整・改善,調整・改善→進捗管理→計画立案→工程表作成,a,普通道路の車道の建築限界は4.5mが標準であるが、設計車両の高さは一般的には4.1m程度である。,道路構造令,標準
2,道路,2018,道路の横断面構成に関する記述として、誤っているものを選びなさい。,車道および路肩は交通機能（通行機能、アクセス機能）に必要な空間であり、空間機能は考慮しない。,歩道、自転車歩行者道および自転車道は交通機能（通行機能、アクセス機能、滞留機能）に必要な空間であるとともに、市街地形成、防災、環境および収容の各空間機能を提供する空間でもある。,軌道敷は専ら路面電車の通行の用に供することを目的とする道路の部分であり、路面電車の通行のために必要な空間である。,やむを得ず、構成要素の幅員に縮小規定を適用する場合は、一般的に車線、植樹帯、路肩および停車帯を優先的に行う。,a,車道および路肩も空間機能を有する重要な構成要素である。,道路構造令,標準
3,道路,2018,落石の計測管理に関する記述として、誤っているものを選びなさい。,落石検知システムは、落石の発生・落下を検知するシステムで、落石の落下・衝突を感知する計測機器を使用する。,落石検知の計測機器の代表的なものとして、伸縮計、傾斜計、画像解析などがある。,落石監視システムは、斜面上の浮石や不安定岩塊について変動・傾斜を測定・監視し、異常を監視するためのシステムである。,落石監視の計測機器のうち亀裂変位計は、大変位の計測は困難であり、転石の計測には適さない。,d,亀裂変位計は大変位の計測も可能であり、転石の監視にも適用される。,道路防災点検要領,標準
4,道路,2018,舗装の性能指標と測定方法の組み合わせとして、誤っているものを選びなさい。,疲労破壊輪数－ダイナミック・フリクション・テスタによる測定方法,塑性変形輪数－ホイールトラッキング試験機による動的安定度測定方法,平たん性－3メートルプロフィルメータによる測定方法,浸透水量－現場透水量試験器による透水量測定方法,a,疲労破壊輪数の測定にはダイナミック・フリクション・テスタではなく、室内での曲げ疲労試験等が用いられる。,舗装設計便覧,標準
5,道路,2018,設計速度に関する記述として、誤っているものを選びなさい。,設計速度は道路設計の基礎とする自動車の速度である。,車線、路肩等の幅員を決定する直接の要因である道路区分の考え方のもとにも、設計速度の概念が導入されている。,一般道路の設計速度は出入制限を伴わない交通制御を行うことが前提となるので、その最高値は60km/hとしている。,設計速度が30km/h以上の道路は、やむを得ない場合には20km/hまたは10km/h減じた値まで縮小できる。,c,一般道路の設計速度の最高値は地域や道路種別により80km/h以上も設定される場合がある。,道路構造令,標準
6,道路,2018,道路の交通容量に関する記述として、誤っているものを選びなさい。,計画水準1とは、30番目時間交通量が流れる状態においてはある速度での定常的走行が可能である水準をいう。,計画水準2とは、年間30時間程度は予想されるピーク時間交通量が可能交通容量を突破して大きな交通渋滞が発生する水準をいう。,計画水準3は、その水準値が1.0であり、余裕が無い水準をいう。,計画水準3は、30番目時間交通量が流れる状態において、走行速度は常に変動し停止に至る水準で、原則としては用いない。,b,計画水準2では可能交通容量を突破するのではなく、計画交通容量に達する水準である。,道路構造令解説,標準
7,道路,2018,排水系統を計画する際の留意事項として、誤っているものを選びなさい。,集水域を含む原地形における地表水・地下水の状況を把握するとともに、土工構造物を構築した後の流況を適切に予測する。,集水区域あるいは周辺地域が将来において開発されることが予想される場合には、その影響も予め考慮しておくのがよい。,盛土・切土だけでなく、接続する橋梁やトンネルも含めて連続する道路構造物を一体として、排水系統を大まかに区分する。,計画降雨を超えた場合に予想される流況と土工構造物への影響度合い等も勘案した上で、排水はできるだけ集中させる。,d,計画降雨を超えた場合は排水を分散させることが基本である。,道路土工排水工指針,標準
8,道路,2018,自転車通行空間の設計に関する記述として、誤っているものを選びなさい。,自転車と自動車、歩行者それぞれを構造的に分離する場合は、柵等の高さのある分離工作物を設置することを基本とする。,自転車通行空間の幅員は、自然に通行位置が守られるよう、歩行者、自転車の交通量を考慮して決定する。,自転車道や車道端部の路面については、自転車の安全性を向上させるため、平坦性の確保、通行の妨げとなる段差や溝の解消に努める。,電柱等の占用物で、自転車、歩行者の通行に支障となる場合は、原則として民地等への移設もしくは無電柱化等を行う。,a,構造的分離には柵等の高さのある工作物だけでなく、縁石等による分離も含まれる。,安全で快適な自転車利用環境創出ガイドライン,標準
9,道路,2018,切土のり面に関する記述として、誤っているものを選びなさい。,切土のり面では、土質・岩質・のり面の規模に応じて、高さ5～10m毎に1～2m幅の小段を設けるのがよい。,長大のり面の場合は、小段を高さ10～20m毎に広くし（幅3～4m程度）、管理段階における点検、補修用のステップとすることが望ましい。,小段に排水施設を設けず、維持管理上問題の少ない小規模なのり面では、小段の横断勾配を外側（のり面下部方向）に下げる構造が用いられる。,小段を設けることで、表面水が小段面から切土のり面内に浸透しやすくなる。,d,小段は表面水の浸透を防ぎ、適切に排水する目的で設けられる。,道路土工切土工・斜面安定工指針,標準
10,道路,2018,道路用語の説明のうち、誤っているものを選びなさい。,付加追越車線とは、低速車を高速車から分離して通行させることを目的として、低速車に通行させるために設けられた付加車線である。,減速車線とは、高速の主流交通から減速分流する車両が、安全に減速できるようにする目的で設けられた変速車線である。,登坂車線とは、連続する急な上り勾配において、大型車のような速度の低下する車両を分離して走行させるために本線に付加する車線である。,屈折車線とは、交差点において、右折または左折しようとする自動車のために、直進する自動車のための車線とは別に設ける車線である。,a,付加追越車線は高速車が低速車を追い越すために設けられる車線であり、低速車専用ではない。,道路構造令,標準
11,道路,2018,信号制御の評価に関する記述として、誤っているものを選びなさい。,「遅れ時間」は、信号がある場合の旅行時間と実際の旅行時間との差で表す。,「信号待ち回数」は、一つの交差点について、ある車両がその交差点を通過するまでに、その通行方向に表示された赤信号表示の回数をいう。,「停止回数」はオフセットの適否によって変化するので、路線系統制御効果の尺度となり得る。,「交通処理量」は一定時間内に流入路の停止線を通過させることができる車両数であり、その最大値は過飽和交差点の交通運用状態の評価指標として有用である。,a,「遅れ時間」は信号がない場合の旅行時間と信号がある場合の旅行時間との差である。,交通工学,標準
12,道路,2018,盛土に関する記述として、誤っているものを選びなさい。,盛土の設計では、既往の経験や実績に基づく仕様で設計を行う以外は、想定する作用に対し、原則、盛土及び基礎地盤の安定性を照査する。,盛土の設計では、盛土の設置地点の諸条件、形式等によって、自重、載荷重、降雨の影響、地震の影響などの荷重を適宜選定する。,盛土のり面では、のり肩から垂直距離5～7m程度下がることに幅1～2m程度の小段を設け、小段の勾配を2～3％程度つけることを標準とする。,小段排水溝に鉄筋コンクリートU型溝を用いる場合、小段ののり尻に近接させて配置する。,d,小段排水溝はのり尻ではなく、小段の山側に配置するのが標準である。,道路土工盛土工指針,標準
