id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,道路,2013,ランプの交通容量に関する記述として、誤っているものはどれか。,ランプの交通容量には、ランプ本体の交通容量とランプ接続部の交通容量がある,ランプ本体の交通容量は、基本的には単路部の交通容量により求められる,流入ランプ接続部の交通容量は、本線の断面交通量に左右される,特に分合流交通が多い場合には、付加車線を設置しサービス水準を確保する,d,全ての選択肢が正しい記述のため、問題設定に課題あり,道路構造令,標準
2,道路,2013,防護柵に関する記述として、誤っているものはどれか。,路側高さ４ｍ以上、かつ法勾配1.0以下の区間は路外の危険度が特に高い区間として車両用防護柵を設置しなければならない,分離帯を有する高速自動車国道は、全線にわたって原則として車両用防護柵を設置するものとする,車両用防護柵の路面から防護柵上端までの高さは、原則として0.6ｍ以上1.0ｍ以下とする,高速自動車国道の車両用防護柵は、車両総重量36ｔの連結構造のトレーラーを設計条件の対象車両とする,a,法勾配は1:1.5以下が正しい,道路構造令,標準
3,道路,2013,交通制御に関する記述として、誤っているものはどれか。,第１種の道路の交差点は信号によって制御しないことを基本とする,第１種の道路における平面交差は本線の交通を阻害しない限度において認められるべきものである,比較的高速の設計速度50km/h以上の直進交通に対しては一時停止制御をしないものとする,一時停止制御の限界交通量は約1200台/時間である,b,第１種の道路は自動車専用道路であり平面交差は原則として設けない,道路構造令,標準
4,道路,2013,道路の容量に関する記述として、誤っているものはどれか。,計画水準１とは、30番目時間交通量が流れる状態においては、ある速度での定常的走行が可能である水準をいう,計画水準２とは、年間30時間程度は予想されるピーク時間交通量が可能交通容量を突破して大きな渋滞が発生することがある水準をいう,計画水準３は、その水準値が1.0であり、余裕が無い水準であって、原則として用いない水準をいう,計画水準３とは、30番目時間交通量が流れる状態においては、走行速度は常に変動し停止に至ることもある水準をいう,d,計画水準３の説明が不正確,道路構造令,標準
5,道路,2013,環境施設帯に関する記述として、誤っているものはどれか。,一般平面道路および単独の高架道路では、距離減衰の効果を考慮し道路端から10mの環境施設帯を設ける,自動車専用道路で夜間に相当の重交通が見込まれる場合は道路端から20mの環境施設帯を設ける,河川、鉄道等の地形の状況により10mまたは20mをとることが著しく困難な場合には、環境施設帯を適切な幅とすることができる,沿道地域の不燃堅牢化が進んでいる地域については、環境施設帯は設けなくても良い,d,不燃堅牢化が進んでいても環境施設帯の設置は必要,道路構造令,標準
6,道路,2013,設計車両に関する記述として、誤っているものはどれか。,第１種および第２種の普通道路の設計車両は小型自動車およびセミトレーラ連結車とする,第３種および第４種の普通道路の設計車両は小型自動車および普通自動車とする,小型道路の設計車両は小型自動車等とする,小型自動車等の最小回転半径は７ｍである,d,小型自動車等の最小回転半径は６ｍ,道路構造令,標準
7,道路,2013,舗装に関する記述として、誤っているものはどれか。,舗装路面に49kNの輪荷重を繰り返した場合に舗装にひび割れが生じるまでに要する回数を塑性変形輪数という,疲労破壊によりひび割れが生じるまでの期間として道路管理者が定める期間を舗装の設計期間という,舗装計画交通量3000台/日・方向の疲労破壊輪数は35万回である,車道および側帯の舗装路面の施工直後の平たん性は2.4mm以下とする,a,ひび割れが生じるまでの回数は疲労破壊輪数であり塑性変形輪数ではない,舗装設計施工指針,標準
8,道路,2013,カルバートの要求性能に関する記述として、誤っているものはどれか。,性能１は、想定する作用によってカルバートとしての健全性を損なわない性能である,性能１でも、長期的な沈下や変形、雨や地震動の作用による軽微な変形を全く許容しないものではない,性能２は、想定する作用による損傷がカルバートとして致命的とならない性能である,重要度１は、万一損傷すると交通機能に著しい影響を与える場合、あるいは隣接する施設に重大な影響を与える場合に適用する,b,性能１では軽微な変形も許容しない,道路土工構造物技術基準,標準
9,道路,2013,歩車共存道路等に関する記述として、誤っているものはどれか。,歩車共存道路等は、自動車の通行が非常に少ない道路で、歩行者の安全確保のために歩道等を設置することが経済的、合理的でない道路に対応できる,歩車共存道路等は、歩行者に対するサービスを優先し、自動車に対するサービスを限定する道路である,歩車共存道路等は、主に第３種第５級および第4種第4級に分類され、その幅員は狭く歩行者、自転車は自動車と空間を共有し通行する道路である,コミュニティ道路は、歩車共存道路等の１つであり、歩行者・自転車・自動車の通行空間が同一平面上にあって、物理的に分離されていない道路のことをいう,a,歩車共存道路の適用条件が不正確,道路構造令,標準
10,道路,2013,平面交差部の横断構成に関する記述として、誤っているものはどれか。,付加車線を設ける箇所の直進車線の幅員は、第３種第２級の普通道路にあっては３ｍまで縮小することが出来る,付加車線を設ける箇所の直進車線の幅員は、第４種第１級の普通道路にあっては３ｍまで縮小することが出来る,付加車線を設ける箇所の直進車線の幅員は、第４種第２級の普通道路にあっては2.75ｍまで縮小することが出来る,付加車線の幅員は、普通道路にあっては３ｍを標準とする,a,第３種第２級では3.25ｍまでの縮小,道路構造令,標準
11,道路,2013,用語の説明のうち、誤っているものはどれか。,視距とは、運転者が車線の中心線上1.2ｍの高さから当該車線の中心線上にある高さ0.1ｍの物の頂点を見通すことができる距離である,普通道路とは、小型自動車、普通自動車、セミトレーラ連結車の交通の用に供する道路および道路の部分をいう,車道部とは、車道、中央帯、軌道敷、交通島、路肩の全部または一部からなる道路の部分をいう,ゆずり車線とは、低速車を高速車から分離して通行させることを目的として、高速車に通行させるために設けられた付加車線である,d,ゆずり車線は低速車のために設ける,道路構造令,標準
12,道路,2013,道路の区分に関する記述として、誤っているものはどれか。,第１種の道路は、地方部に存する自動車専用道路で、級別の区分は、第１級、第２級、第３級、第４級の４種類である,第２種の道路は、都市部に存する自動車専用道路で、級別の区分は、第１級、第２級、第３級の３種類である,第３種の道路は、地方部に存する道路で、級別の区分は、第１級、第２級、第３級、第４級、第５級の５種類である,第４種の道路は、都市部に存する道路で、級別の区分は、第１級、第２級、第３級、第４級の４種類である,a,第１種は第１級から第５級まで５種類,道路構造令,標準
13,道路,2013,横断面の構成に関する記述として、正しいものはどれか。,路肩の機能上の形式の分類には、全路肩、半路肩、広路肩、狭路肩、保護路肩がある,停車帯は、第４種の道路に設けられ、その幅員の標準値は2.5ｍ、縮小値は1.5ｍである,中央帯は、往復の方向別を分離するために設けられ、分離帯と側帯と路肩で構成される,副道の幅員は４ｍが標準値で、設計速度は50㎞/h、40㎞/h、30㎞/hである,c,中央帯は分離帯と側帯で構成される,道路構造令,標準
14,道路,2013,道路の線形に関する記述として、誤っているものはどれか。,ブロークンバックカーブとは、同方向に屈曲する曲線の間に短い直線を入れることである,直線部から曲線部に、または大円部から小円部に円滑に自動車が走行していくために設けられる区間を緩和区間という,車道の縦断勾配は、道路の区分に関係なく道路の設計速度に応じて標準値と特例値が規定されている,視距は、道路の設計速度に応じて最小値が規定されている,c,縦断勾配は道路の区分と設計速度に応じて規定,道路構造令,標準
15,道路,2013,平面交差に関する記述として、誤っているものはどれか。,平面交差の最小間隔は、主として織り込み長、信号制御の滞留長、右折車線長等、運転者の注意力の限界の４つの要素によって制約される,一時停止制御の交差点における視認距離の最小値は、道路の区分に応じて最小値が規定されている,交差点の取付け部の縦断勾配は、交通を安全かつ円滑に流すために、できるだけ長い区間を2.5％以下とすべきである,導流路幅員は、セミトレーラ連結車、普通自動車、小型自動車等の設計車両に応じて所定の値が定められている,b,視認距離は設計速度に応じて規定,道路構造令,標準
16,道路,2013,道路の附属施設に関する記述として、誤っているものはどれか。,第３種第５級の道路に設ける待避所相互間の距離は、300ｍ以内である,自動車駐車場の駐車ますは、設計車両に応じて小型車、大型車、特殊大型車の標準寸法があり、小型車駐車ますの大きさは長さ5.00ｍ、幅2.30ｍである,バス停留所の構造には、バスベイ型、テラス型、ストレート型がある,非常駐車帯の設置間隔は、道路区分と設計速度に応じて、所定の値が規定されている,a,待避所相互間の距離は500ｍ以内,道路構造令,標準
17,道路,2013,道路構造における設計速度と最小曲線半径の関係で、正しい組み合わせはどれか。,設計速度60km/h：最小曲線半径120m,設計速度80km/h：最小曲線半径200m,設計速度100km/h：最小曲線半径350m,設計速度120km/h：最小曲線半径500m,c,設計速度100km/hの最小曲線半径は350m,道路構造令,標準
18,道路,2013,道路の縦断勾配に関する記述として、正しいものはどれか。,第１種第１級の道路の縦断勾配の標準値は3％である,第２種第１級の道路の縦断勾配の標準値は4％である,第３種第１級の道路の縦断勾配の標準値は5％である,第４種第１級の道路の縦断勾配の標準値は6％である,a,第１種第１級の標準値は3％,道路構造令,標準
19,道路,2013,車線の幅員に関する記述として、正しいものはどれか。,第１種の道路の車線の幅員は3.75mを標準とする,第２種の道路の車線の幅員は3.50mを標準とする,第３種第１級の道路の車線の幅員は3.25mを標準とする,第４種第１級の道路の車線の幅員は3.00mを標準とする,a,第１種の道路は3.75m,道路構造令,標準
20,道路,2013,中央分離帯に関する記述として、誤っているものはどれか。,中央分離帯は、対向する車両相互の衝突事故等を防止するために設ける,中央分離帯の幅員は、植樹等を行う場合は3.0m以上とする,中央分離帯には、原則として開口部を設けてはならない,中央分離帯の縁石の高さは、25cm以上とする,d,縁石の高さは15cm以上,道路構造令,標準
21,道路,2013,路肩に関する記述として、誤っているものはどれか。,路肩は、車道に接続して設けられる帯状の道路の部分をいう,左側路肩の幅員は、第１種の道路では3.0mを標準とする,右側路肩の幅員は、第１種の道路では1.25mを標準とする,路肩の構造は、舗装するものとし、車道の舗装と同様の構造とする,d,路肩の舗装は車道より簡易な構造も可,道路構造令,標準
22,道路,2013,歩道に関する記述として、正しいものはどれか。,歩道の有効幅員は、歩行者の交通量が多い道路にあっては3.0m以上とする,歩道は、車道より高く設け、その高さは15cm以上とする,歩道と車道の境界には、原則として縁石を設ける,歩道の縦断勾配は、5％以下とする,c,車道との境界には縁石を設ける,道路構造令,標準
23,道路,2013,自転車道に関する記述として、誤っているものはどれか。,自転車道の幅員は、一方向の自転車の通行に供する場合は1.5m以上とする,自転車道の幅員は、相互通行に供する場合は3.0m以上とする,自転車道の縦断勾配は、5％以下とする,自転車道には、原則として横断勾配を設けてはならない,d,自転車道にも排水のため横断勾配を設ける,道路構造令,標準
