id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,道路,2017,環境施設帯に関する記述のうち、誤っているものはどれか,一般平面道路および単独の高架道路では距離減衰の効果を考慮し車道端から幅10mの環境施設帯を設ける,自動車専用道路で道路の構造が盛土切土または他の道路の上部に設けられる高架構造でかつ夜間に相当の重交通が見込まれる場合は車道端から幅20mの環境施設帯を設ける,自動車専用道路で道路の構造が盛土切土または他の道路の上部に設けられる高架構造でかつ夜間に相当の重交通が見込まれる場合であっても沿道地域の不燃堅牢化が進んでいる地域については遮音性が高いこと用地取得が困難なことから環境施設帯は設けなくても良い,河川鉄道等の地形の状況により10mまたは20mをとることが著しく困難な場合などやむを得ない場合には適切な幅とすることができる,c,環境施設帯は騒音や大気汚染等の防止のため設置されるものであり沿道地域の不燃堅牢化の程度に関わらず設置が必要です,道路構造令,標準
2,道路,2017,交通調査に関する記述のうち、誤っているものはどれか,パーソントリップ調査は物の動きに関して目的利用交通手段時刻起終点個人に関する諸属性などを調査する,OD調査は自動車交通の実態を交通量起終点貨物乗車人員の量など交通の内容について多面的に調査するものである,物資流動調査はパーソントリップ調査とともに都市の総合交通計画のために重要となる調査である,断面交通量調査は最も基本的な調査であり道路交通センサスでは一般都道府県道以上の道路を対象に断面交通量調査道路現況調査が行われている,a,パーソントリップ調査は人の動きに関する調査であり物の動きではありません,交通調査要綱,標準
3,道路,2017,交通調査に関する記述のうち、誤っているものはどれか。,パーソントリップ調査は、「人の動き」に関して目的、利用交通手段、時刻、起終点、個人に関する諸属性などを調査する。,OD調査は、自動車交通の実態を、交通量、起終点、貨物・乗車人員の量など交通の内容について多面的に調査するものである。,物資流動調査はパーソントリップ調査とともに都市の総合交通計画のために重要となる調査である。,断面交通量調査は最も基本的な調査であり、道路交通センサスでは一般都道府県道以上の道路を対象に、断面交通量調査、道路現況調査が行われている。,a,パーソントリップ調査は「物の動き」ではなく「人の動き」に関する調査である。人の移動に関して目的、利用交通手段、時刻、起終点、個人に関する諸属性などを調査する。,道路交通調査基本マニュアル,標準
4,道路,2017,生活道路用柵に関する記述のうち、誤っているものはどれか,生活道路用柵は歩行者等保護のための歩道等への車両の進入防止と歩行者等の横断防止などを目的とした柵である,生活道路用柵の適用範囲は例えば都市部の商店街住宅地等の道路のように狭い幅員の道路が対象である,生活道路用柵は種別Pの高強度型として設計されている,生活道路用柵の性能の考え方として車両の逸脱防止乗員の安全性車両の誘導性などが採用されている,c,生活道路用柵は種別Pではなく生活道路の特性に応じた別の設計基準が適用されます,防護柵設置基準,標準
5,道路,2017,積雪地域の道路幅員構成に関する記述のうち、誤っているものはどれか,幹線道路の計画対象降積雪深さは10年間再現確率値によることを標準とする,冬期交通確保幅は冬期側帯冬期車道冬期路肩で構成する,冬期路肩は0.5m以上を標準とする,冬期歩道は傘をさした人がすれ違えるように3.0m以上を確保することが望ましい,a,積雪地域の幹線道路では30年確率降雪を標準とし特に重要な路線では50年確率を用います,積雪寒冷特別地域道路交通確保五箇年計画,標準
6,道路,2017,道路構造令に関する記述のうち、誤っているものはどれか,道路構造令は高速自動車国道および一般国道の構造の一般的技術的基準を定めている,道路構造令で規定している道路の構造とは主として道路の幅員建築限界線形視距交差または接続等の構造である,道路構造令は道路を新設し又は改築する場合に適用される。したがって修繕工事の場合も道路構造令の規定によらなければならない,道路構造令は一般的技術的基準である。したがって一般的道路利用とは異なる機能を必要とする場合通常の自然的外部的条件とは異なる場合にはその構造は個別に検討してもよい,c,道路構造令は新設改築時に適用されるものであり修繕工事には適用されません,道路構造令,標準
7,道路,2017,道路交通特性に関する記述のうち、誤っているものはどれか,大型車や高速道路利用交通は長トリップ交通の割合が高い傾向がある,昼夜率は昼間12時間の交通量を1日24時間の交通量で割ったものである,ピーク率はピーク時間交通量の日交通量または昼間12時間交通量に対する割合である,重方向率は往復合計の交通量に対する重方向交通量の割合である,a,大型車や高速道路利用交通は長トリップ交通の割合が高い傾向がありますがこれは正しい記述です,交通工学ハンドブック,標準
8,道路,2017,横断面構成要素に関する記述のうち、誤っているものはどれか,車道は自動車の通行機能アクセス機能等の交通機能に必要な空間である,中央帯は交通機能に必要な空間であるとともに市街地形成防災環境および収容の各空間機能を提供する空間でもある,植樹帯は交通の安全性快適性の向上など自動車歩行者などの交通機能に必要である空間であるとともに市街地形成防災および環境の各空間機能を提供する空間でもある,路肩は側方余裕の確保などを目的とする道路の部分であり沿道施設利用のための停車スペース等市街地形成の空間機能も有する,d,路肩は側方余裕の確保などを目的としますが沿道施設利用のための停車スペースとしての機能は適切ではありません,道路構造令解説,標準
9,道路,2017,舗装の性能指標と測定方法の組み合わせのうち、誤っているものはどれか,疲労破壊輪数はFWDによるたわみ測定方法,塑性変形輪数は振子式スキッドレジスタンステスタによる動的安定度測定法,平たん性は3メートルプロフィルメータによる測定方法,浸透水量は現場透水量試験器による透水量測定方法,b,塑性変形輪数は動的安定度測定法ではなくホイールトラッキング試験により測定されます,舗装設計便覧,標準
10,道路,2017,舗装の性能指標と測定方法の組み合わせのうち、誤っているものはどれか。,疲労破壊輪数-FWDによるたわみ測定方法,塑性変形輪数-振子式スキッド・レジスタンステスタによる動的安定度測定法,平たん性-3メートルプロフィルメータによる測定方法,浸透水量-現場透水量試験器による透水量測定方法,b,塑性変形輪数の測定は、「振子式スキッド・レジスタンステスタによる動的安定度測定法」ではなく「ホイールトラッキング試験による動的安定度測定法」で行う。振子式は滑り抵抗値の測定に用いる。,舗装設計便覧,標準
